lon,lat,sol,win
124.7,52.32,3.49,3.98
122.53,52.97,3.46,4.07
121.47,31.23,3.81,5.58
121.48,31.23,3.81,5.58
121.47,31.22,3.81,5.58
121.43,31.18,3.81,5.58
121.42,31.22,3.81,5.58
121.45,31.23,3.81,5.58
121.4,31.25,3.81,5.58
121.45,31.25,3.81,5.58
121.5,31.27,3.81,5.58
121.52,31.27,3.81,5.58
121.38,31.12,3.81,5.58
121.48,31.4,3.81,5.58
121.27,31.38,3.81,5.58
121.53,31.22,3.81,5.58
121.33,30.75,3.89,5.65
121.22,31.03,3.81,5.58
121.12,31.15,3.81,5.58
121.75,31.05,3.81,5.58
121.47,30.92,3.89,5.65
121.4,31.62,3.81,5.58
118.78,32.07,3.88,3.89
118.8,32.05,3.88,3.89
118.78,32.03,3.88,3.89
118.8,32.02,3.88,3.89
118.75,32.03,3.88,3.89
117.18,34.28,4.11,3.6
118.77,32.07,3.88,3.89
118.73,32.08,3.88,3.89
118.62,32.05,3.88,3.89
118.88,32.12,3.88,3.89
118.77,32,3.88,3.89
118.85,31.95,3.75,3.86
118.83,32.35,3.88,3.89
119.02,31.65,3.77,4.11
118.88,31.33,3.75,3.86
120.3,31.57,3.78,4.68
120.3,31.58,3.78,4.68
120.3,31.57,3.78,4.68
120.28,31.58,3.78,4.68
120.35,31.6,3.78,4.68
120.28,31.68,3.78,4.68
120.27,31.57,3.78,4.68
120.27,31.9,3.78,4.68
119.82,31.35,3.77,4.11
117.18,34.27,4.11,3.6
117.18,34.28,4.11,3.6
118.77,32.07,3.88,3.89
117.22,34.25,4.11,3.6
117.13,34.3,4.11,3.6
117.45,34.45,4.11,3.6
117.18,34.25,4.11,3.6
116.6,34.7,4.14,3.37
116.93,34.73,4.14,3.37
117.17,34.18,4.11,3.6
117.95,33.9,4.04,3.72
118.35,34.38,4.17,3.71
117.95,34.32,4.11,3.6
119.95,31.78,3.77,4.11
119.93,31.75,3.77,4.11
119.93,31.78,3.77,4.11
120.05,31.73,3.78,4.68
119.97,31.83,3.77,4.11
119.93,31.72,3.77,4.11
119.48,31.42,3.77,4.11
